drug_name,Présentation,Dosage,Distributeur ou fabriquant,Composition,Classe thérapeutique,Statut,Code ATC,PPV,Prix hospitalier,Tableau,Notice en français,Nature du Produit,Indication(s),Substance (s) psychoactive (s),Princeps,Mises en garde,Contres-indication(s),Posologies et mode d'administration,Risque potentiel de dépendance ou d’abus,PPC,Boîte,Grossesse,Allaitement,Effets indésirable,Conservation,Lien du Produit,Laboratoire détenteur de l'AMM dans le pays d'origine,Age minimal d'utilisation,Particularité,AO,Export,Tiers Payant,Convention de Vienne,RCP,Liens de redirection,Notice en arabe
"SAFLU 250 µg / 25 µg, Suspension pour inhalation",Flacon de 120 doses,250 µg | 25 µg,CIPLA MAROC,Fluticasone | Salmeterol,"Antiasthmatique, bêta-2-sympathomimétique avec glucocorticoïde",Commercialisé,R03AK06,185.00 dhs,115.60 dhs,A,,Médicament,"L'association Fluticasone | Salmeterol est indiqués en traitement continu de l’asthme, dans les situations où l’administration par voie inhalée d’un médicament associant un corticoïde et un bronchodilatateur β2 agoniste de longue durée d’action est justifiée :

- chez des patients insuffisamment contrôlés par une corticothérapie inhalée et la prise d’un bronchodilatateur β2 agoniste de courte durée d’action par voie inhalée « à la demande ».

ou

- chez des patients contrôlés par l’administration d’une corticothérapie inhalée associée à un traitement continu par β2 agoniste de longue durée d’action par voie inhalée.

- chez les patients insuffisamment contrôlés par une corticothérapie inhalée et la prise d'un bronchodilatateur β2-agoniste de courte durée d'action par voie inhalée «à la demande».

ou

- chez les patients contrôlés par l'administration d'une corticothérapie inhalée associée à un traitement continu par β2-agoniste de longue durée d'action par voie inhalée.",,,,,,,,,,,,,,,,,,,,,,,
"SAFLU 50 µg / 25 µg, Suspension pour inhalation",Flacon de 120 doses,50 µg / 25 µg,CIPLA MAROC,Fluticasone | Salmeterol,"Antiasthmatique, bêta-2-sympathomimétique avec glucocorticoïde",Commercialisé,R03AK06,115.00 dhs,71.90 dhs,A,,Médicament,"L'association Fluticasone | Salmeterol est indiqués en traitement continu de l’asthme, dans les situations où l’administration par voie inhalée d’un médicament associant un corticoïde et un bronchodilatateur β2 agoniste de longue durée d’action est justifiée :

- chez des patients insuffisamment contrôlés par une corticothérapie inhalée et la prise d’un bronchodilatateur β2 agoniste de courte durée d’action par voie inhalée « à la demande ».

ou

- chez des patients contrôlés par l’administration d’une corticothérapie inhalée associée à un traitement continu par β2 agoniste de longue durée d’action par voie inhalée.

- chez les patients insuffisamment contrôlés par une corticothérapie inhalée et la prise d'un bronchodilatateur β2-agoniste de courte durée d'action par voie inhalée «à la demande».

ou

- chez les patients contrôlés par l'administration d'une corticothérapie inhalée associée à un traitement continu par β2-agoniste de longue durée d'action par voie inhalée.",,,,,,,,,,,,,,,,,,,,,,,
"SALAZOPYRINE 500 MG, Comprimé enrobé gastro-resistant",Boîte de 100,500 MG,LAPROPHAN,Sulfasalazine,Anti-inflammatoire intestinal,Commercialisé,A07EC01,132.40 dhs,82.80 dhs,A,,Médicament,"En gastro-entérologie :

· Rectocolite hémorragique : traitement d'attaque des poussées et prévention des rechutes.
· Maladie de Crohn dans sa localisation colique.

En rhumatologie :

Polyarthrite rhumatoïde.",,Oui,,,,,,,,,,,,,,,,,,,,,
"SALBUMOL 0.5 MG / ML, Solution injectable",Boîte de 6,0.5 MG / ML,GLAXO SMITHKLINE,Salbutamol,"Antiasthmatique, bêta-2-sympathomimétique",Commercialisé,R03CC02,25.60 dhs,16.00 dhs,A,,Médicament,"Ce médicament est un bêta-2 mimétique.

Il exerce un effet bronchodilatateur rapide (il augmente le calibre des bronches).

Il agit également au niveau de l'utérus et favorise sa relaxation lors de la grossesse.

Il peut être indiqué chez les sujets asthmatiques ou chez la femme enceinte.
Source : base-donnees-publique.medicaments.gouv.fr - 22 octobre 2025",,,,,,,,,,,,,,,,,,,,,,,
"SALCROZINE FAES 1 G, Comprimés gastro-résistants",Boite de 100,1 G,IBERMA,Mésalazine,Anti-inflammatoire intestinal,Commercialisé,A07EC02,502.00 dhs,333.00 dhs,A,,,"Traitement de la phase aiguë de la colite ulcéreuse légère à modérée.
Traitement de la rémission de la colite ulcéreuse
Traitement de la phase aiguë de la maladie de Crohn
Traitement de la rémission de la maladie de Crohn",,,,,,,,,,,,,,,,,,,,,,,
"SALCROZINE FAES 500 MG, Comprimé gastrorésistant",Boite de 100,500 MG,IBERMA,Mésalazine,Anti-inflammatoire intestinal,Commercialisé,A07EC02,274.00 dhs,171.50 dhs,C,,Médicament,"Traitement de la phase aiguë de la colite ulcéreuse légère à modérée.
Traitement de la rémission de la colite ulcéreuse
Traitement de la phase aiguë de la maladie de Crohn
Traitement de la rémission de la maladie de Crohn",,,,,,,,,,,,,,FAES FARMA,,,,,,,,,
"SANCUSO, Dispositif transdermique",Boite d'un patch,34.3 MG ( 3.1 MG / 24 H ),SOTHEMA,Granisétron,"Antiémétique, antagoniste des récepteurs de la sérotonine (5HT3)",Commercialisé,A04AA02,937.00 dhs,656.00 dhs,A,,Médicament,"Traitement et prévention des nausées et vomissements lors de chimiothérapie ou de radiothérapie, traitement des nausées et vomissements postopératoires.",,,,,,,,,,,,,,,,,,,,,,,
"SAPHIR 1 G / 125 MG, Sachet",Boite de 12,1 G | 125 MG,COOPER PHARMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,82.30 dhs,51.40 dhs,A,,Médicament,"Traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"SAPHIR 1 G / 125 MG, Sachet",Boite de 24,1 G | 125 MG,COOPER PHARMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,156.10 dhs,97.60 dhs,A,,Médicament,"Traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"SAPHIR 1 G / 125 MG, Sachet",Boite de 16,1 G  | 125 MG,COOPER PHARMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,108.40 dhs,67.80 dhs,A,,Médicament,"Traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"SAPHIR 500 MG / 62.5 MG, Poudre pour supension buvable en sachet",Boite de 16,500 MG | 62.5 MG,COOPER PHARMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,73.50 dhs,46.00 dhs,A,,,"Traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"SAPHIR 500 MG / 62.5 MG, Sachet",Boite de 12,500 MG | 62.5 MG,COOPER PHARMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,55.20 dhs,34.50 dhs,A,,Médicament,"Traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"SAPHIR ENFANT 100 MG / 12.5 MG, SIROP",Flacon de 60 ml,100 MG | 12.5 MG,COOPER PHARMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,58.90 dhs,36.80 dhs,A,,Médicament,"Traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"SAPHIR NOURISSON 100 MG / 12.5 MG, Sirop",Flacon de 30 ml,100 MG  | 12.5 MG,COOPER PHARMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,34.20 dhs,21.40 dhs,A,,Médicament,"Traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"SARGENOR 1 G, Comprimé effervescent",Boîte de 2 tubes de 10,1 G,LAPROPHAN,Arginine,Tonique,Commercialisé,A13A,54.20 dhs,33.90 dhs,Aucun,,Médicament,Traitement d’appoint de l’asthénie fonctionnelle.,,,,,,,,,,,,,,,,,,,,,,,
"SARLAX, Solution buvable [Compl. Alim]",Flacon de 150 ml,,SANTÉ FAMILIALE,Concentré de jus de pruneau | Manne | Mélisse | Mauve | Camomille | orange douce | Fenouil,,Commercialisé,,,,,,Complément alimentaire,"Réduit les gonflements et les crampes abdominales.
Optimise la fonction intestinale.
Ne provoque pas d'irritation ni d'accoutumance.",,,,,,,83.00 dhs,,,,,,,,,,,,,,,,
"SCANDICAINE 30 MG / ML, Solution injectable",Boîte de 50 cartouches de 1.8 ml,30 MG / ML,STERIPHARMA,Mepivacaine,"Anesthésiques locaux, amides",Commercialisé,N01BB03,354.00 dhs,234.00 dhs,A,,,"solution injectable à usage dentaire, est indiqué dans l’anesthésie locale ou loco-régionale en pratique odonto-stomatologique chez l’adulte, l’adolescent et l’enfant de plus de 4 ans (c’est à dire pesant plus de 20 kg)",,,,,,,,,,,,,,,,,,,,,,,
"SCANDONEST 30 MG / ML, Solution injectable à usage dentaire en cartouche",Boite de 50,30 MG / ML,STERIPHARMA,MEPIVACAINE,Anesthésiques locaux - amides,Commercialisé,N01BB03,330.00 dhs,219.00 dhs,A,,,"SCANDONEST 30 mg/mL, solution injectable à usage dentaire, est indiqué dans l’anesthésie locale ou loco-régionale en pratique odonto-stomatologique chez l’adulte, l’adolescent et l’enfant de plus de 4 ans (c’est à dire pesant plus de 20 kg).",,,,,,,,,,,,,,,,,,,,,,,
"SCARMED SILICONE, Gel",Tube de 15 G,,NON RENSEIGNÉ,,,Commercialisé,,,,,,Dispositif médical,,,,,,,,195.00 dhs,,,,,,,,,,,,,,,,
"SCIPRALEX 10 MG, Comprimé pelliculé sécable [P]",Boite de 30,10 MG,POLYMEDIC,Escitalopram,"Antidépresseur, inhibiteur sélectif de la recapture de la sérotonine (ISRS)",Commercialisé,N06AB10,123.60 dhs,77.20 dhs,A,,Médicament,"Traitement des épisodes dépressifs majeurs (c'est-à-dire caractérisés).

Traitement du trouble panique avec ou sans agoraphobie.

Traitement du trouble « anxiété sociale » (phobie sociale).

Traitement du trouble anxiété généralisée.

Traitement des troubles obsessionnels compulsifs.",Oui,,,,,,,,,,,,,,,,,,,,,,
"SCIPRALEX 20 MG, Comprimé pelliculé sécable [P]",Boite de 30,20 MG,POLYMEDIC,Escitalopram,"Antidépresseur, inhibiteur sélectif de la recapture de la sérotonine (ISRS)",Commercialisé,N06AB10,178.20 dhs,111.40 dhs,A,,Médicament,"Traitement des épisodes dépressifs majeurs (c'est-à-dire caractérisés).

Traitement du trouble panique avec ou sans agoraphobie.

Traitement du trouble « anxiété sociale » (phobie sociale).

Traitement du trouble anxiété généralisée.

Traitement des troubles obsessionnels compulsifs.",Oui,,,,,,,,,,,,,,,,,,,,,,
"SECONIL 2 G, Granulés en sachet",Boite unitaire,2 G,ZENITH PHARMA,Secnidazole,Antiprotozoaires - dérivés du nitroimidazole,Commercialisé,P01AB07,40.40 dhs,25.30 dhs,A,,,"Traitement des :
Urétrites bactériennes,
Amibiases intestinales,
Amibiases hépatiques,
Giardiases.",,,,,,,,,,,,,,,,,,,,,,,
"SECTRAL 200 MG, Comprimé pelliculé",Boîte de 20,200 MG,BOTTU S.A.,Acebutolol,BETABLOQUANT,Commercialisé,C07AB04,37.80 dhs,23.60 dhs,A,,Médicament,"Hypertension artérielle
- Prophylaxie des crises d'angor d'effort
- Traitement au long cours après infarctus du myocarde (l'acébutolol diminue le risque de récidive d'infarctus du myocarde et la mortalité, particulièrement la mort subite).
- Traitement de certains troubles du rythme : supraventriculaires (tachycardie, flutter et fibrillation auriculaires, tachycardie jonctionnelle) ou ventriculaires (extrasystolie ventriculaire, tachycardie ventriculaire).",,Oui,,,,,,,,,,,,,,,,,,,,,
"SECTRAL 400 MG, Comprimé pelliculé",Boîte de 30,400 MG,BOTTU S.A.,Acebutolol,BETABLOQUANT,Commercialisé,C07AB04,104.60 dhs,65.40 dhs,A,,Médicament,"Hypertension artérielle
- Prophylaxie des crises d'angor d'effort
- Traitement au long cours après infarctus du myocarde (l'acébutolol diminue le risque de récidive d'infarctus du myocarde et la mortalité, particulièrement la mort subite).
- Traitement de certains troubles du rythme : supraventriculaires (tachycardie, flutter et fibrillation auriculaires, tachycardie jonctionnelle) ou ventriculaires (extrasystolie ventriculaire, tachycardie ventriculaire).",,Oui,,,,,,,,,,,,,,,,,,,,,
"SEDALGIC 37.5 MG / 325 MG, Comprimé pelliculé [P]",Boite de 20,37.5 MG | 325 MG,COOPER PHARMA,Tramadol | Paracetamol,"Analgésique opioïde, préparation combinée",Commercialisé,N02AJ13,27.60 dhs,17.20 dhs,A,,Médicament,"L'association tramadol-paracetamol est indiquée dans le traitement symptomatique des douleurs modérées à intenses.

L’utilisation de de cette association doit être limitée aux patients dont la douleur modérée à intense nécessite un traitement par une association de paracétamol et de tramadol.",Oui,,,,,Oui,,,,,,,,,,,,,,,,,
"SEDANAT ADULTE, Goutte",,,SYNAPSE SANTÉ,Extrait de Valériane officinalis | Extrait de Melisa officinalis | Extrait de Humulus lupulus,,Commercialisé,,,,Aucun,,Complément alimentaire,"SEDANAT aide à combattre l'anxiété et le stress car elle contient de l'acide rosmarinique qui agit en augmentant l'activité des neurotransmetteurs dans le cerveau, comme acide l’ γ-aminobutyrique (GABA (principales molécules responsables du sommeil)), ce qui contribue à la sensation de relaxation du corps, de bien-être et de tranquillité et à la diminution des symptômes de l'anxiété tels que l'agitation et la nervosité",,,,,,,70.00 dhs,,,,,,,,,,,,,,,,
"SEDANAT ENFANT, Goutte",,,SYNAPSE SANTÉ,Extrait de Valériane officinalis | Extrait de Melisa officinalis | Extrait de Humulus lupulus,,Commercialisé,,,,Aucun,,,"SEDANAT aide à combattre l'anxiété et le stress car elle contient de l'acide rosmarinique qui agit en augmentant l'activité des neurotransmetteurs dans le cerveau, comme acide l’ γ-aminobutyrique (GABA (principales molécules responsables du sommeil)), ce qui contribue à la sensation de relaxation du corps, de bien-être et de tranquillité et à la diminution des symptômes de l'anxiété tels que l'agitation et la nervosité",,,,,,,70.00 dhs,,,,,,,,,,,,,,,,
"SEDATIF PC, Comprimé",Boîte de 40,,BOTTU S.A.,Aconitum napellus | Belladonna | Calendula officinalis | Chelidonium majus | Valeriana officinalis | Viburnum opulus,Médicament homéopathique,Commercialisé,,42.50 dhs,26.60 dhs,Aucun,,Médicament,"Médicament homéopathique traditionnellement utilisé dans les états anxieux et émotifs, les troubles mineurs du sommeil.",,,,,,,,,,,,,,,,,,,,,,,
"SEDERGINE 330 MG / 200 MG, Comprimé effervescent",Boîte de 20,330 MG | 200 MG,LAPROPHAN,Acide acétylsalicylique | Acide ascorbique,,Commercialisé,N02BE01,15.30 dhs,9.60 dhs,Aucun,,Médicament,"Traitement symptomatique des douleurs d'intensité légère à modérée et/ou des états fébriles.

Cette présentation est RESERVEE A L’ADULTE et A L’ENFANT à partir de 27 kg (soit environ à partir de 8 ans).",,,,,,,,,,,,,,,,,,,,,,,
"SEEBRI BREEZHALER 50 µg, Gélule avec inhalateur",Inhalateur et 30 gélules,50 µg,NOVARTIS PHARMA MAROC,Glycopyrronium,Parasympatholytique,Commercialisé,R03BB06,457.00 dhs,303.00 dhs,A,,Médicament,"Seebri Breezhaler est indiqué dans le traitement bronchodilatateur d'entretien administré une fois par jour pour atténuer les symptômes de patients atteints de bronchopneumopathie chronique obstructive (BPCO).
Source : Compendium.ch - Date : 20 octobre 2025",,Oui,,,,,,,,,,,,,,,,,,,,,
"SEMGLEE, 100 UI, Stylo prérempli [Ins]",Boite contenant un stylo de 3 ml,100 UI,VIATRIS PHARMACEUTICALS,Insuline glargine,Insuline humaine analogue à action lente,Commercialisé,A10AE04,106.70 dhs,,,,,"Traitement du diabète sucré de l’adulte, de l’adolescent et de l’enfant à partir de 2 ans.",,,,,,,,,,,,,,,,,,,,,,,
"SEMGLEE, 100 UI, Stylo prérempli [Ins]",Boite contenant un stylo de 3 ml,100 UI,VIATRIS PHARMACEUTICALS,Insuline glargine,Insuline humaine analogue à action lente,Commercialisé,A10AE04,106.70 dhs,,,,,"Traitement du diabète sucré de l’adulte, de l’adolescent et de l’enfant à partir de 2 ans.",,,,,,,,,,,,,,,,,,,,,,,
"SENNA+VITAMINE C, Comprimé effervescent",Boite de 20,,SYNAPSE SANTÉ,Extrait de Séné | Vitamine C,Complément alimentaire,Commercialisé,,,,Aucun,,Complément alimentaire,"Laxatif naturel à base de plantes, utile dans le confort intestinal.
L'extrait de séné, utilisé comme laxatif naturel, est réputé pour ses propriétés stimulant le transit intestinal, tandis que la vitamine C renforce les parois des capillaires.",,,,,"1 comprimé par jour. Ne pas dépasser la dose quotidienne recommandée.
Ne pas dépasser 6 jours de traitement.",,79.50 dhs,,,,,,,,14 ans,,,,,,,,
"SEPCEN 250 MG, Comprimé",Boîte de 10,250 MG,IBERMA,Ciprofloxacine,"Antibiotique, fluoquinolones",Commercialisé,J01MA02,51.40 dhs,32.10 dhs,A,,,"La ciprofloxacine est indiquée dans le traitement des infections suivantes. Il convient de tenir compte des recommandations officielles concernant l'utilisation appropriée des antibiotiques.

Avant le début du traitement, il faut tenir compte en particulier des informations disponibles relatives aux résistances, en particulier des recommandations d'utilisation visant à éviter l'augmentation de la résistance aux antibiotiques.

Dans le cas des infections non compliquées, la ciprofloxacine ne sera utilisé que lorsque d'autres antibiotiques qui sont habituellement recommandés pour le traitement initial des infections en question sont considérés comme inappropriés ou ont échoué.

Adultes
• Infections des voies respiratoires inférieures provoquées par des bactéries à Gram négatif
o Exacerbations de la bronchopneumopathie chronique obstructive (BPCO)
o Infections bronchopulmonaires en cas de fibrose kystique ou de bronchectasie
o Pneumonie
• Otite moyenne purulente chronique
• Aggravation aiguë de la sinusite chronique, en particulier lorsqu'elle est provoquée par des bactéries à Gram négatif
• Infections urinaires
• Infections génitales à condition que des souches de Neisseria gonorrhoeae résistantes à la ciprofloxacine aient pu être exclues.
o Urétrite et cervicite à gonocoques
o Orchi-épididymite
o Affections inflammatoires pelviennes (PID)
• Infections du tube digestif (par ex. diarrhée de voyage)
• Infections intra-abdominales
• Infections de la peau et des tissus mous dues à des bactéries à Gram négatif
• Otite externe maligne
• Infections osseuses et articulaires
• Prévention d'infections invasives à Neisseria meningitidis
• Inhalation d'agents de la maladie du charbon (prophylaxie post-exposition et traitement)
La ciprofloxacine convient au traitement des patients neutropéniques avec fièvre, si l'on soupçonne que la fièvre est causée par une infection bactérienne.
Enfants et adolescents
• Infections bronchopulmonaires provoquées par Pseudomonas aeruginosa chez les patients atteints de fibrose kystique.
• Chez les enfants dès 1 an comme médicament de troisième choix dans le traitement des infections urinaires compliquées et en cas de pyélonéphrite provoquée par E. coli. L'indication du traitement ne sera posée qu'en accord avec le spécialiste, soit un pédiatre infectiologue ou un infectiologue.
Chez les enfants et les adolescents, la ciprofloxacine peut également être utilisée en cas d'infections graves si ce traitement est jugé nécessaire.
Le traitement ne doit être initié que par un médecin expérimenté dans le traitement de la fibrose kystique et/ou d'infections graves chez les enfants et les adolescents.

Des études cliniques portant sur les indications susmentionnées ont été réalisées. Pour d'autres indications, l'expérience clinique est limitée.
Les enfants de moins de 6 ans doivent être traités avec une forme galénique adéquate, avec une suspension ou une perfusion de ciprofloxacine.
Charbon (adultes et enfants)
Pour la prophylaxie post-exposition et pour le traitement du charbon après inhalation du germe Bacillus anthracis. L'efficacité de la ciprofloxacine dans le charbon a été démontrée par des expérimentations chez l'animal. Chez les enfants, les adolescents et les femmes enceintes, il faut vérifier s'il n'est pas possible de passer à un traitement par (amino )pénicilline lorsqu'on dispose de l'antibiogramme de la souche de Bacillus anthracis impliquée.",,,,,,,,,,,,,,,,,,,,,,,
"SEPCEN 500 MG, Comprimé",Boîte de 10,500 MG,IBERMA,Ciprofloxacine,"Antibiotique, fluoquinolones",Commercialisé,J01MA02,74.80 dhs,46.70 dhs,A,,,"La ciprofloxacine est indiquée dans le traitement des infections suivantes. Il convient de tenir compte des recommandations officielles concernant l'utilisation appropriée des antibiotiques.

Avant le début du traitement, il faut tenir compte en particulier des informations disponibles relatives aux résistances, en particulier des recommandations d'utilisation visant à éviter l'augmentation de la résistance aux antibiotiques.

Dans le cas des infections non compliquées, la ciprofloxacine ne sera utilisé que lorsque d'autres antibiotiques qui sont habituellement recommandés pour le traitement initial des infections en question sont considérés comme inappropriés ou ont échoué.

Adultes
• Infections des voies respiratoires inférieures provoquées par des bactéries à Gram négatif
o Exacerbations de la bronchopneumopathie chronique obstructive (BPCO)
o Infections bronchopulmonaires en cas de fibrose kystique ou de bronchectasie
o Pneumonie
• Otite moyenne purulente chronique
• Aggravation aiguë de la sinusite chronique, en particulier lorsqu'elle est provoquée par des bactéries à Gram négatif
• Infections urinaires
• Infections génitales à condition que des souches de Neisseria gonorrhoeae résistantes à la ciprofloxacine aient pu être exclues.
o Urétrite et cervicite à gonocoques
o Orchi-épididymite
o Affections inflammatoires pelviennes (PID)
• Infections du tube digestif (par ex. diarrhée de voyage)
• Infections intra-abdominales
• Infections de la peau et des tissus mous dues à des bactéries à Gram négatif
• Otite externe maligne
• Infections osseuses et articulaires
• Prévention d'infections invasives à Neisseria meningitidis
• Inhalation d'agents de la maladie du charbon (prophylaxie post-exposition et traitement)
La ciprofloxacine convient au traitement des patients neutropéniques avec fièvre, si l'on soupçonne que la fièvre est causée par une infection bactérienne.
Enfants et adolescents
• Infections bronchopulmonaires provoquées par Pseudomonas aeruginosa chez les patients atteints de fibrose kystique.
• Chez les enfants dès 1 an comme médicament de troisième choix dans le traitement des infections urinaires compliquées et en cas de pyélonéphrite provoquée par E. coli. L'indication du traitement ne sera posée qu'en accord avec le spécialiste, soit un pédiatre infectiologue ou un infectiologue.
Chez les enfants et les adolescents, la ciprofloxacine peut également être utilisée en cas d'infections graves si ce traitement est jugé nécessaire.
Le traitement ne doit être initié que par un médecin expérimenté dans le traitement de la fibrose kystique et/ou d'infections graves chez les enfants et les adolescents.

Des études cliniques portant sur les indications susmentionnées ont été réalisées. Pour d'autres indications, l'expérience clinique est limitée.
Les enfants de moins de 6 ans doivent être traités avec une forme galénique adéquate, avec une suspension ou une perfusion de ciprofloxacine.
Charbon (adultes et enfants)
Pour la prophylaxie post-exposition et pour le traitement du charbon après inhalation du germe Bacillus anthracis. L'efficacité de la ciprofloxacine dans le charbon a été démontrée par des expérimentations chez l'animal. Chez les enfants, les adolescents et les femmes enceintes, il faut vérifier s'il n'est pas possible de passer à un traitement par (amino )pénicilline lorsqu'on dispose de l'antibiogramme de la souche de Bacillus anthracis impliquée.",,,,,,,,,,,,,,,,,,,,,,,
