dci_a,dci_b,level_fr,severity,mechanism,recommendation
RIFAMPICINE,ABIRATERONE,Association déconseillée,MAJOR,"Diminution notable des concentrations plasmatiques de l’abiratérone, avec risque de moindre efficacité.",
RIFAMPICINE,AFATINIB,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques de l’afatinib par augmentation de son métabolisme par la rifampicine.,Surveillance clinique pendant l’association et 1 à 2 semaines après leur arrêt.
RIFAMPICINE,ALBENDAZOLE,Précaution d'emploi,MODERATE,"Diminution importante des concentrations plasmatiques de l’albendazole et de son métabolite actif par l’inducteur, avec risque de baisse de son efficacité.",Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l’albendazole pendant le traitement avec l’inducteur enzymatique et après son arrêt.
RIFAMPICINE,ANTAGONISTES DES CANAUX CALCIQUES,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques de l'antagoniste du calcium par augmentation de son métabolisme hépatique.,Association déconseillée avec la nimodipine Précaution d'emploi : Surveillance clinique et adaptation éventuelle de la posologie de l'antagoniste du calcium pendant le traitement par la rifampicine et après son arrêt.
RIFAMPICINE,ANTIARYTHMIQUES CLASSE IA,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques et de l'efficacité de l'antiarythmique (augmentation de son métabolisme hépatique). 211,"Surveillance clinique, ECG et éventuellement de la concentration plasmatique de l'antiarythmique. Si besoin, adaptation de la posologie de l'antiarythmique pendant le traitement par la rifampicine et après son arrêt (risque de surdosage en antiarythmique)."
RIFAMPICINE,APIXABAN,Association déconseillée,MAJOR,"Diminution des concentrations plasmatiques de l’apixaban par la rifampicine, avec risque de diminution de l’effet thérapeutique.",
RIFAMPICINE,APREPITANT,Association déconseillée,MAJOR,Diminution très importante des concentrations d'aprépitant.,
RIFAMPICINE,ATORVASTATINE,Association déconseillée,MAJOR,"Diminution très importante des concentrations plasmatiques d'atorvastatine, par augmentation de son métabolisme hépatique par la rifampicine.",
RIFAMPICINE,ATOVAQUONE,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques d'atovaquone par l'inducteur enzymatique.,
RIFAMPICINE,BICTÉGRAVIR,Contre-indication,MAJOR,"Diminution très importante des concentrations de bictégravir, avec risque de perte d’efficacité.",
RIFAMPICINE,BOSENTAN,Association déconseillée,MAJOR,"Risque de diminution, importante pour la rifampicine, des concentrations plasmatiques de bosentan.",
RIFAMPICINE,CANNABIDIOL,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques de cannabidiol avec risque de perte d’efficacité.,
RIFAMPICINE,CARBAMAZEPINE,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques et de l'efficacité de la carbamazépine par augmentation de son métabolisme hépatique par la rifampicine.,"Surveillance clinique, contrôle des concentrations plasmatiques et adaptation de la posologie de la carbamazépine pendant le traitement par la rifampicine et après son arrêt."
RIFAMPICINE,CARVEDILOL,Précaution d'emploi,MODERATE,"Diminution importante des concentrations plasmatiques du carvédilol, par augmentation de son métabolisme hépatique par la rifampicine.","Surveillance clinique régulière et adaptation de la posologie du carvédilol pendant le traitement par la rifampicine. A l'arrêt de la rifampicine, risque de remontée importante des concentrations plasmatiques de carvédilol imposant une réduction posologique et une surveillance clinique étroite."
RIFAMPICINE,COBICISTAT,Contre-indication,MAJOR,Risque de diminution de l’efficacité du cobicistat par augmentation de son métabolisme par l’inducteur. 212,
RIFAMPICINE,DÉLAMANID,Contre-indication,MAJOR,Diminution des concentrations plasmatiques de delamanid par augmentation de son métabolisme hépatique par l’inducteur.,
RIFAMPICINE,DIGOXINE,Précaution d'emploi,MODERATE,Diminution modeste des concentrations de digoxine.,Surveillance clinique et ECG.
RIFAMPICINE,DOXYCYCLINE,À prendre en compte,MINOR,Risque de diminution importante des concentrations de doxycycline.,
RIFAMPICINE,DRONEDARONE,Association déconseillée,MAJOR,"Diminution importante des concentrations de dronédarone par augmentation de son métabolisme, sans modification notable du métabolite actif.",
RIFAMPICINE,EFAVIRENZ,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques et de l'efficacité de l'éfavirenz par augmentation de son métabolisme hépatique par la rifampicine.,"Surveillance clinique et biologique régulière, notamment en début d'association."
RIFAMPICINE,ESZOPICLONE,Précaution d'emploi,MODERATE,Risque de diminution des concentrations plasmatiques et de l'efficacité de l’eszopiclone par augmentation de son métabolisme hépatique par la rifampicine.,Surveillance clinique. Utiliser éventuellement un autre hypnotique.
RIFAMPICINE,EXEMESTANE,À prendre en compte,MINOR,Risque de diminution de l'efficacité de l'exemestane par augmentation de son métabolisme hépatique par l'inducteur enzymatique.,
RIFAMPICINE,FENTANYL,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques de fentanyl par augmentation de son métabolisme hépatique par la rifampicine.,Préférer un autre morphinique.
RIFAMPICINE,FLUCONAZOLE,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques et de l'efficacité du fluconazole par augmentation de son métabolisme par la rifampicine.,
RIFAMPICINE,HALOPERIDOL,Précaution d'emploi,MODERATE,"Risque de diminution des concentrations plasmatiques de l'halopéridol et de son efficacité thérapeutique, par augmentation de son métabolisme hépatique par la rifampicine.","Surveillance clinique et, si besoin, adaptation posologique pendant le traitement par la rifampicine et après son arrêt."
RIFAMPICINE,HORMONES THYROÏDIENNES,Précaution d'emploi,MODERATE,"Risque d'hypothyroïdie clinique chez les patients hypothyroïdiens, par augmentation du métabolisme de la T3 et de la T4.","Surveillance clinique et biologique. Adaptation, si besoin, de la posologie des hormones thyroïdiennes pendant le traitement par la rifampicine et après son arrêt."
RIFAMPICINE,IDÉLALISIB,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques d’idélalisib par augmentation de son métabolisme hépatique par l’inducteur. 213,
RIFAMPICINE,KETOCONAZOLE,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques et de l'efficacité des deux anti-infectieux (induction enzymatique par la rifampicine et diminution de l'absorption intestinale par l’azolé antifongique).,
RIFAMPICINE,LÉDIPASVIR,Contre-indication,MAJOR,Diminution importante des concentrations plasmatiques du lédipasvir par augmentation de son métabolisme hépatique par la rifampicine.,
RIFAMPICINE,LÉNACAPAVIR,Contre-indication,MAJOR,"Diminution, éventuellement considérable, des concentrations de lénacapavir, avec risque de réduction de la réponse virologique.",
RIFAMPICINE,LINEZOLIDE,Précaution d'emploi,MODERATE,Risque de diminution de l'efficacité du linézolide par augmentation de son métabolisme hépatique par la rifampicine.,Surveillance clinique et augmentation éventuelle de la posologie du linézolide pendant le traitement par la rifampicine.
RIFAMPICINE,METOPROLOL,À prendre en compte,MINOR,Diminution des concentrations plasmatiques et de l'efficacité du bêta-bloquant (augmentation de son métabolisme hépatique).,
RIFAMPICINE,METRONIDAZOLE,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques du métronidazole par augmentation de son métabolisme hépatique par la rifampicine.,Surveillance clinique et adaptation éventuelle de la posologie de métronidazole pendant le traitement par la rifampicine et après son arrêt.
RIFAMPICINE,MIDAZOLAM,Association déconseillée,MAJOR,"Risque d'absence d'effet du midazolam, avec diminution très importante de ses concentrations plasmatiques, par augmentation de son métabolisme hépatique.",
RIFAMPICINE,MINÉRALOCORTICOÏDES,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques et de l'efficacité des corticoïdes par augmentation de leur métabolisme hépatique par la rifampicine ; les conséquences sont particulièrement importantes chez les addisoniens traités par l'hydrocortisone et en cas de transplantation.,Surveillance clinique et biologique ; adaptation de la posologie des corticoïdes pendant le traitement par la rifampicine et après son arrêt.
RIFAMPICINE,MONTELUKAST,Précaution d'emploi,MODERATE,Risque de baisse de l'efficacité du montélukast par augmentation de son métabolisme hépatique par la rifampicine. 214,Surveillance clinique et adaptation éventuelle de la posologie de l'antiasthmatique pendant le traitement par la rifampicine et après son arrêt.
RIFAMPICINE,NINTÉDANIB,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques du nintédanib par diminution de son absorption par la rifampicine.,Surveillance clinique pendant l’association.
RIFAMPICINE,OZANIMOD,Association déconseillée,MAJOR,Diminution des concentrations des métabolites actifs de l’ozanimod d’environ 60%.,
RIFAMPICINE,PÉRAMPANEL,À prendre en compte,MINOR,Diminution importante (jusqu’aux deux-tiers) des concentrations de pérampanel.,
RIFAMPICINE,POSACONAZOLE,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques et de l'efficacité des deux anti-infectieux (induction enzymatique par la rifampicine et diminution de l'absorption intestinale par l’azolé antifongique).,
RIFAMPICINE,PROPAFENONE,Précaution d'emploi,MODERATE,"Diminution des concentrations plasmatiques de la propafénone, par augmentation de son métabolisme hépatique par la rifampicine.","Surveillance clinique et ECG. S'il y a lieu, adaptation de la posologie de la propafénone pendant l'association et après l'arrêt de la rifampicine."
RIFAMPICINE,PROPRANOLOL,À prendre en compte,MINOR,Diminution des concentrations plasmatiques et de l'efficacité du bêta-bloquant (augmentation de son métabolisme hépatique).,
RIFAMPICINE,QUETIAPINE,Association déconseillée,MAJOR,"Diminution très importante des concentrations plasmatiques de quétiapine par augmentation de son métabolisme hépatique par l'inducteur, avec risque d’inefficacité.",
RIFAMPICINE,QUININE,Association déconseillée,MAJOR,Risque de perte de l’efficacité de la quinine par augmentation de son métabolisme hépatique par l’inducteur.,
RIFAMPICINE,RALTÉGRAVIR,Association déconseillée,MAJOR,Diminution des concentrations du raltégravir par la rifampicine.,"Si l’association ne peut être évitée, un doublement de la dose de raltégravir peut être envisagé."
RIFAMPICINE,RANOLAZINE,Association déconseillée,MAJOR,Diminution très importante des concentrations de ranolazine.,
RIFAMPICINE,RIVAROXABAN,Association déconseillée,MAJOR,"Diminution des concentrations plasmatiques de rivaroxaban, avec risque de diminution de l'effet thérapeutique. 215",
RIFAMPICINE,TELITHROMYCINE,Association déconseillée,MAJOR,"Diminution très importante des concentrations plasmatiques de la télithromycine, avec risque d'échec du traitement anti-infectieux, par augmentation du métabolisme hépatique de la télithromycine par la rifampicine.",
RIFAMPICINE,TÉNOFOVIR ALAFÉNAMIDE,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques du ténofovir alafénamide par diminution de son absorption par la rifampicine.,Surveillance clinique pendant l’association et 1 à 2 semaines après l’arrêt de la rifampicine.
RIFAMPICINE,TERBINAFINE,Précaution d'emploi,MODERATE,"Diminution des concentrations plasmatiques et de l'efficacité de la terbinafine, par augmentation de son métabolisme hépatique par la rifampicine.","Surveillance clinique. Si besoin, adaptation de la posologie de la terbinafine pendant le traitement par la rifampicine."
RIFAMPICINE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques et de l'efficacité de la théophylline (augmentation de son métabolisme par induction enzymatique).,"Surveillance clinique et, si besoin, de la théophyllinémie. Adapter, s'il y a lieu, la posologie de la théophylline pendant le traitement par la rifampicine et après son arrêt."
RIFAMPICINE,TIAGABINE,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques de la tiagabine par augmentation de son métabolisme hépatique.,Une augmentation de la posologie de la tiagabine peut s’avérer nécessaire en cas d’association à la rifampicine.
RIFAMPICINE,TICAGRELOR,Association déconseillée,MAJOR,"Diminution importante des concentrations plasmatiques de ticagrelor par augmentation de son métabolisme hépatique par la rifampicine, avec risque de diminution de l’effet thérapeutique.",
RIFAMPICINE,ULIPRISTAL,Association déconseillée,MAJOR,"Risque de diminution de l’effet de l’ulipristal, par augmentation de son métabolisme hépatique par l’inducteur.",Préférer une alternative thérapeutique peu ou pas métabolisée.
RIFAMPICINE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",Précaution d'emploi,MODERATE,"Risque de survenue de crises convulsives, par augmentation du métabolisme hépatique du valproate par la rifampicine.","Surveillance clinique et biologique, et adaptation éventuelle de la posologie de l'anticonvulsivant pendant le traitement par la rifampicine et après son arrêt."
RIFAMPICINE,VELPATASVIR,Contre-indication,MAJOR,"Diminution des concentrations plasmatiques de velpatasvir par la rifampicine, avec possible retentissement sur l’efficacité.",
RIFAMPICINE,VITAMINE D,Précaution d'emploi,MODERATE,Diminution des concentrations de vitamine D plus marquée qu’en l’absence de traitement par la rifampicine,Dosage des concentrations de vitamine D et supplémentation si nécessaire.
RIFAMPICINE,VORICONAZOLE,Contre-indication,MAJOR,"Diminution importante des concentrations plasmatiques du voriconazole avec risque de perte d'efficacité, par augmentation de son métabolisme hépatique par la rifampicine.",
RIFAMPICINE,VOXELOTOR,Association déconseillée,MAJOR,"Diminution notable des concentrations plasmatiques du voxelotor, avec risque de moindre efficacité. 216",
RILPIVIRINE,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,À prendre en compte,MINOR,Risque de diminution des concentrations plasmatiques de la rilpivirine.,"Si nécessaire, utiliser un antihistaminique H2 actif en une prise par jour, à prendre au moins 12 heures avant, ou au moins 4 heures après."
RILPIVIRINE,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,Contre-indication,MAJOR,Diminution des concentrations plasmatiques de rilpivirine par l’inhibiteur de la pompe à protons (absorption diminuée en raison de l’augmentation du pH gastrique).,
RILPIVIRINE,DEXAMETHASONE,Contre-indication,MAJOR,"Avec la dexaméthasone par voie systémique (sauf en cas de prise unique), risque de diminution des concentrations plasmatiques de rilpivirine par augmentation de son métabolisme hépatique par la dexamethasone.",
RILPIVIRINE,INDUCTEURS ENZYMATIQUES,Contre-indication,MAJOR,Diminution significative des concentrations plasmatiques de rilpivirine par augmentation de son métabolisme hépatique par l’inducteur.,
RILPIVIRINE,MILLEPERTUIS,Contre-indication,MAJOR,Risque de diminution des concentrations plasmatiques de rilpivirine par augmentation de son métabolisme hépatique par le millepertuis.,
RIOCIGUAT,DÉRIVÉS NITRÉS ET APPARENTÉS,Contre-indication,MAJOR,Risque d'hypotension importante (effet synergique).,
RIOCIGUAT,INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,Contre-indication,MAJOR,Risque d'hypotension importante (effet synergique).,
RIOCIGUAT,INHIBITEURS PUISSANTS DU CYP3A4,Association déconseillée,MAJOR,Augmentation des concentrations plasmatiques de riociguat par diminution de son métabolisme hépatique par l’inhibiteur.,
RISPERIDONE,CARBAMAZEPINE,Précaution d'emploi,MODERATE,Risque de diminution de la fraction active de la rispéridone et de son efficacité thérapeutique par augmentation de son métabolisme hépatique par la carbamazépine.,"Surveillance clinique, et si besoin, adaptation posologique de la rispéridone."
RISPERIDONE,FLUOXETINE,Précaution d'emploi,MODERATE,"Augmentation de la fraction active de la rispéridone par diminution de son métabolisme hépatique par la fluoxétine, avec risque de majoration des effets indésirables. 217","Surveillance clinique et, si besoin, adaptation posologique de la rispéridone."
RITONAVIR,CORTICOÏDES (VOIE INTRA-ARTICULAIRE),À prendre en compte,MINOR,"Décrit chez des patients HIV. Risque d’insuffisance surrénale aiguë, même en cas d’injection unique. L’articulation peut constituer un réservoir relarguant de façon continue le corticoïde CYP3A4-dépendant dans la circulation générale, avec augmentation possiblement très importante des concentrations du corticoïde à l’origine d’une freination de la réponse hypothalamo-hypophysaire.",Préférer un corticoïde non CYP3A4-dépendant (hydrocortisone)
RIVAROXABAN,FLUCONAZOLE,Association déconseillée,MAJOR,"Augmentation des concentrations plasmatiques du rivaroxaban par le fluconazole, avec majoration du risque de saignement.",
RIVAROXABAN,INDUCTEURS ENZYMATIQUES PUISSANTS,Association déconseillée,MAJOR,"Diminution des concentrations plasmatiques de rivaroxaban, avec risque de diminution de l'effet thérapeutique.",
RIVAROXABAN,INHIBITEURS PUISSANTS DU CYP3A4,Association déconseillée,MAJOR,"Augmentation des concentrations plasmatiques de rivaroxaban, avec majoration du risque de saignement.",
ROLAPITANT,COLCHICINE,Précaution d'emploi,MODERATE,"Risque d’augmentation des effets indésirables de la colchicine, aux conséquences potentiellement fatales.",Surveillance clinique et biologique étroite pendant l’association.
ROLAPITANT,DABIGATRAN,Précaution d'emploi,MODERATE,Risque d’augmentation des concentrations plasmatiques du dabigatran par augmentation de son absorption intestinale par le rolapitant.,Surveillance clinique et biologique étroite pendant l’association.
ROLAPITANT,DIGOXINE,Précaution d'emploi,MODERATE,Augmentation de la digoxinémie par majoration de son absorption.,Surveillance clinique et ECG pendant le traitement par le rolapitant et après son arrêt.
ROLAPITANT,INDUCTEURS ENZYMATIQUES,Association déconseillée,MAJOR,Diminution très importante des concentrations de rolapitant avec risque de perte d’efficacité.,
ROLAPITANT,METOPROLOL,Précaution d'emploi,MODERATE,"Chez l'insuffisant cardiaque, risque d'augmentation des effets indésirables du métoprolol, par diminution de son métabolisme hépatique par le rolapitant. 218","Surveillance clinique. Si besoin, adaptation de la posologie du métoprolol pendant le traitement par le rolapitant."
ROLAPITANT,TAMOXIFENE,Association déconseillée,MAJOR,Risque de baisse de l’efficacité du tamoxifène par inhibition de la formation de son métabollite actif par le rolapitant.,
ROPINIROLE,CIPROFLOXACINE,Précaution d'emploi,MODERATE,"Augmentation des concentrations de ropinirole avec risque de surdosage, par diminution de son métabolisme hépatique par la ciprofloxacine.",Surveillance clinique et réduction éventuelle de la posologie du ropinirole pendant le traitement par la ciprofloxacine et après son arrêt.
ROPINIROLE,ENOXACINE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques de ropinirole avec signes de surdosage par diminution de son métabolisme hépatique.,Surveillance clinique et réduction de la posologie du ropinirole pendant le traitement par l'énoxacine et après son arrêt.
ROSUVASTATINE,CICLOSPORINE,Contre-indication,MAJOR,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, ou de néphrotoxicité, par diminution du métabolisme de la rosuvastatine.",
ROSUVASTATINE,DAROLUTAMIDE,Association déconseillée,MAJOR,"Augmentation considérable (d’un facteur 5) des concentrations de rosuvastatine avec risque de rhabdomyolyse et/ou de néphrotoxicité, par augmentation de sa biodisponibilité.",
ROSUVASTATINE,VELPATASVIR,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques de rosuvastatine par augmentation de son absorption intestinale par le velpatasvir.,"En cas d’association, ne pas dépasser 10 mg par jour de rosuvastatine."
ROXADUSTAT,CALCIUM,Précaution d'emploi,MODERATE,"La prise de cation divalent peut diminuer l’absorption intestinale et, potentiellement, l’efficacité du roxadustat pris simultanément.","Prendre le roxadustat à distance des sels de calcium (plus de 1 heure, si possible)."
ROXADUSTAT,FER,Précaution d'emploi,MODERATE,"La prise de cation divalent peut diminuer l’absorption intestinale et, potentiellement, l’efficacité du roxadustat pris simultanément.","Prendre le roxadustat à distance des sels de fer (plus de 1 heure, si possible)."
ROXADUSTAT,GEMFIBROZIL,Précaution d'emploi,MODERATE,"Augmentation de l’exposition du roxadustat, par diminution de son métabolisme par le gemfibrozil.",Surveillance clinique et biologique (hémoglobine).
ROXADUSTAT,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),Précaution d'emploi,MODERATE,"Augmentation d’un facteur 2 à 3 de l’exposition de la statine, par diminution de son métabolisme par le roxadustat.",Surveillance clinique et adaptation de la posologie de la statine pendant le traitement par roxadustat.
ROXADUSTAT,MAGNÉSIUM,Précaution d'emploi,MODERATE,"La prise de cation divalent peut diminuer l’absorption intestinale et, potentiellement, l’efficacité du roxadustat pris simultanément.","Prendre le roxadustat à distance des sels de magnésium (plus de 1 heure, si possible)."
ROXADUSTAT,RÉSINES CHÉLATRICES,Précaution d'emploi,MODERATE,"La prise de résine chélatrice peut diminuer l’absorption intestinale et, potentiellement, l’efficacité du roxadustat pris simultanément.","Prendre le roxadustat à distance de la résine (plus de 1 heure, si possible)."
ROXITHROMYCINE,ATORVASTATINE,Précaution d'emploi,MODERATE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.,Utiliser des doses plus faibles d’hypocholestérolémiant.
ROXITHROMYCINE,CICLOSPORINE,Précaution d'emploi,MODERATE,Risque d'augmentation des concentrations sanguines de ciclosporine et de la créatininémie.,"Dosage des concentrations sanguines de la ciclosporine, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après l'arrêt du macrolide."
ROXITHROMYCINE,MIDAZOLAM,À prendre en compte,MINOR,Majoration légère de la sédation. 220,
RUFINAMIDE,ESTROPROGESTATIFS CONTRACEPTIFS,Précaution d'emploi,MODERATE,Diminution de l’efficacité contraceptive par augmentation du métabolisme hépatique du contraceptif hormonal par le rufinamide.,"Utiliser une méthode additionnelle de type mécanique (préservatif) pendant la durée de l’association, et un cycle suivant l’arrêt du rufinamide."
RUFINAMIDE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",Précaution d'emploi,MODERATE,"Possible augmentation des concentrations de rufinamide, notamment chez l’enfant de moins de 30 kg.",Chez l’enfant de moins de 30 kg : ne pas dépasser la dose totale de 600 mg/j après la période de titration.
SACITUZUMAB,INDUCTEURS ENZYMATIQUES PUISSANTS,À prendre en compte,MINOR,"Pour le SN38 lié au sacizutumab (govitécan) : risque de diminution de son exposition, par augmentation de son métabolisme.",
SACITUZUMAB,RIFAMPICINE,À prendre en compte,MINOR,"Pour le SN38 lié au sacizutumab (govitécan) : risque de diminution de son exposition, par augmentation de son métabolisme.",
SALMETEROL,ITRACONAZOLE,À prendre en compte,MINOR,Augmentation importante des concentrations de salmétérol par diminution de son métabolisme hépatique par l'itraconazole.,
SALMETEROL,KETOCONAZOLE,À prendre en compte,MINOR,Augmentation importante des concentrations de salmétérol par diminution de son métabolisme hépatique par le kétoconazole.,
SALMETEROL,OMBITASVIR PARITAPRÉVIR,Contre-indication,MAJOR,Risque d’augmentation des concentrations de salmétérol.,
SELEXIPAG,CLOPIDOGREL,Précaution d'emploi,MODERATE,Risque d’augmentation des effets indésirables du sélexipag par diminution de son métabolisme.,Surveillance clinique étroite pendant l’association. Réduire de moitié la posologie (une seule prise par jour).
SELEXIPAG,DEFERASIROX,Précaution d'emploi,MODERATE,Risque d’augmentation des effets indésirables du sélexipag par diminution de son métabolisme. 221,Surveillance clinique étroite pendant l’association. Réduire de moitié la posologie (une seule prise par jour).
SELPERCATINIB,HORMONES THYROÏDIENNES,Précaution d'emploi,MODERATE,Risque de moindre efficacité de la supplémentation en lévothyroxine par baisse de la conversion de T4 en T3 en cas de traitement par selpercatinib.,"Surveillance clinique et biologique, et adjonction éventuelle de liothyronine au traitement par la lévothyroxine."
SELPERCATINIB,REPAGLINIDE,Association déconseillée,MAJOR,"Augmentation importante des concentrations plasmatiques de répaglinide, avec risque d'hypoglycémie, par diminution du métabolisme du répaglinide par le selpercatinib.",
SERTRALINE,INDUCTEURS ENZYMATIQUES,Association déconseillée,MAJOR,Risque d’inefficacité du traitement antidépresseur.,
SERTRALINE,PAMPLEMOUSSE (JUS ET FRUIT),Association déconseillée,MAJOR,Augmentation parfois importante des concentrations de l’antidépresseur chez certains patients par diminution de son métabolisme intestinal.,
SÉTRONS,APOMORPHINE,Contre-indication,MAJOR,Des hypotensions sévères et des pertes de connaissance ont été rapportées lors de l’association d’un sétron avec l’apomorphine.,
SILDENAFIL,JOSAMYCINE,Précaution d'emploi,MODERATE,"Augmentation des concentrations plasmatiques de sildénafil, avec risque d'hypotension.",Débuter le traitement par sildénafil à la dose minimale en cas d'association avec la josamycine.
SILDENAFIL,OMBITASVIR PARITAPRÉVIR,Contre-indication,MAJOR,Augmentation des concentrations plasmatiques du sildénafil par diminution de son métabolisme hépatique par la bithérapie.,
SILODOSINE,INHIBITEURS PUISSANTS DU CYP3A4,Association déconseillée,MAJOR,"Risque d’augmentation des effets indésirables de la silodosine par l’inhibiteur, notamment à type d’hypotension orthostatique. 222",
SIMVASTATINE,AMIODARONE,Précaution d'emploi,MODERATE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de la simvastatine).,Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée par ce type d’interaction.
SIMVASTATINE,AMLODIPINE,Précaution d'emploi,MODERATE,Risque majoré d’effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l’hypocholestérolémiant).,Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée par ce type d’interaction.
SIMVASTATINE,APALUTAMIDE,Association déconseillée,MAJOR,"Risque de diminution très importante des concentrations de la simvastatine, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",
SIMVASTATINE,AZITHROMYCINE,Précaution d'emploi,MODERATE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.",Utiliser des doses plus faibles d’hypocholestérolémiant ou une autre statine non concernée par ce type d’interaction.
SIMVASTATINE,CARBAMAZEPINE,Association déconseillée,MAJOR,"Diminution importante des concentrations plasmatiques de simvastatine, par augmentation de son métabolisme hépatique.",
SIMVASTATINE,CICLOSPORINE,Contre-indication,MAJOR,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par diminution du métabolisme de la simvastatine.,
SIMVASTATINE,DANAZOL,Contre-indication,MAJOR,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par diminution du métabolisme de la simvastatine.,
SIMVASTATINE,DRONEDARONE,Association déconseillée,MAJOR,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de la simvastatine).,
SIMVASTATINE,FLUCONAZOLE,Précaution d'emploi,MODERATE,Risque majoré d'effets indésirables concentration-dépendants à type de rhabdomyolyse (diminution du métabolisme hépatique de la simvastatine).,"Ne pas dépasser la posologie de 20 mg/j de simvastatine. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d’interaction."
SIMVASTATINE,GLÉCAPRÉVIR PIBRENTASVIR,Contre-indication,MAJOR,"Augmentation importante des concentrations plasmatiques de simvastatine par la bithérapie, avec risque majoré d’effets indésirables (concentration-dépendants) à type de rhabdomyolyses .",
SIMVASTATINE,INHIBITEURS PUISSANTS DU CYP3A4,Contre-indication,MAJOR,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par diminution du métabolisme de la simvastatine.,
SIMVASTATINE,MILLEPERTUIS,Association déconseillée,MAJOR,Diminution de l’efficacité de l’hypocholestérolémiant par augmentation de son métabolisme hépatique par le millepertuis.,
SIMVASTATINE,OMBITASVIR PARITAPRÉVIR,Contre-indication,MAJOR,Augmentation des concentrations plasmatiques de la simvastatine par diminution de son métabolisme hépatique par la bithérapie. 223,
SIMVASTATINE,RIFAMPICINE,Association déconseillée,MAJOR,"Diminution très importante des concentrations plasmatiques de simvastatine, par augmentation de son métabolisme hépatique par la rifampicine.",
SIMVASTATINE,ROXITHROMYCINE,Précaution d'emploi,MODERATE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.,Utiliser des doses plus faibles d’hypocholestérolémiant.
SIMVASTATINE,STIRIPENTOL,Contre-indication,MAJOR,Risque majoré d’effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l’hypocholestérolémiant).,
SIMVASTATINE,VERAPAMIL,Précaution d'emploi,MODERATE,Risque majoré d’effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l’hypocholestérolémiant).,Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée par ce type d’interaction.
SIROLIMUS,INHIBITEURS DE L'ENZYME DE CONVERSION,À prendre en compte,MINOR,Majoration du risque d’angio-oedème.,
SIROLIMUS,OMBITASVIR PARITAPRÉVIR,Association déconseillée,MAJOR,En association avec le ritonavir : augmentation significative des concentrations de l’immunosuppresseur avec risque de majoration de sa toxicité par la bithérapie.,"Si l’association s’avère nécessaire, contrôle strict de la fonction rénale, dosage des concentrations sanguines de l'immunosuppresseur et adaptation éventuelle de la posologie."
